County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Tharaka-Nithi,Maara,Maara,MAARA ,13,THARAKA-NITHI ,60,73248,60,Maara,66066595,94139056,99648544,81896551.72,98189655.17,109040875.5,137367724.1,137186879.3,137088879,145087603,175361810,179441954.5,192674248
Tharaka-Nithi,Chuka / Igambang’ombe,Chuka / Igambang’ombe,CHUKA/IGAMBANG'OMBE ,13,THARAKA-NITHI ,61,84674,61,Chuka,70402984,100708800,106665238,81896551.72,,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Tharaka-Nithi,Tharaka,Tharaka,THARAKA ,13,THARAKA-NITHI ,62,74010,62,Tharaka,83424538,120436795,127735359,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Embu,Manyatta,Manyatta,MANYATTA ,14,EMBU ,63,106588,63,Manyatta,69015400,98606572,104419993,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Embu,Runyenjes,Runyenjes,RUNYENJES ,14,EMBU ,64,95326,64,Runyenjes,69404975,99196789,105050362,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Embu,Mbeere South,Mbeere South,MBEERE SOUTH,14,EMBU ,65,77264,65,Mbeere-South,76709655,110263571,116870035,81896551.72,98189655.17,109040875.5,137367724.1,137134879.3,137088879,145087603,175361810,179441954.5,192613248
Embu,Mbeere North,Mbeere North,MBEERE NORTH,14,EMBU ,66,55124,66,Mbeere-North,73052901,104723492,110953056,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Kitui,Mwingi North,Mwingi North,MWINGI NORTH,15,KITUI ,67,68829,67,Mwingi-North,91837332,133182398,141348066,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kitui,Mwingi West,Mwingi West,MWINGI WEST,15,KITUI ,68,57138,68,Mwingi-West,73442427,105313635,111583348,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Kitui,Mwingi Central,Mwingi Central,MWINGI CENTRAL,15,KITUI ,69,74231,69,Mwingi-Central,84850635,122597369,130042920,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Kitui,Kitui West,Kitui West,KITUI WEST,15,KITUI ,70,59047,70,Kitui-West,66714446,95120567,100696830,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,183018585
Kitui,Kitui Rural,Kitui Rural,KITUI RURAL,15,KITUI ,71,55000,71,Kitui-Rural,74104740,106317057,112655034,81896551.72,98189655.17,109040875.5,137367724.1,137261879.3,137088879,138215033,166593720,170469856.7,182982585
Kitui,Kitui Central,Kitui Central,KITUI CENTRAL,15,KITUI ,72,77764,72,Kitui-Central,76718303,110276673,116884028,81896551.72,98189655.17,109040875.5,137367724.1,137201879.3,137088879,145087603,175389810,179441954.5,192613248
Kitui,Kitui East,Kitui East,KITUI EAST,15,KITUI ,73,65377,73,Kitui-East,85068711,122927760,130395789,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Kitui,Kitui South,Kitui South,KITUI SOUTH,15,KITUI ,74,75372,74,Kitui-South,94584769,137344836,145793681,81896551.72,98189655.17,109040875.5,137367724.1,137128879.3,137088879,151960174,184283901,188414052.2,202243910
Machakos,Masinga,Masinga,MASINGA ,16,MACHAKOS ,75,68879,75,Masinga,81240588,117128054,124201519,81896551.72,98189655.17,109040875.5,137367724.1,137195879.3,137088879,145087603,175851810,179441954.5,192613248
Machakos,Yatta,Yatta,YATTA ,16,MACHAKOS ,76,82397,76,Yatta,81955949,118211844,125359041,81896551.72,98189655.17,109040875.5,137367724.1,137126879.3,137088879,145087603,175361810,179441954.5,192613248
Machakos,Kangundo,Kangundo,KANGUNDO ,16,MACHAKOS ,77,60796,77,Kangundo,72102621,103283793,109415412,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166607720,170502856.7,182982585
Machakos,Matungulu,Matungulu,MATUNGULU ,16,MACHAKOS ,78,75841,78,Matungulu,76872477,110510251,117133497,81896551.72,98189655.17,109040875.5,137367724.1,137121879.3,137088879,145087603,175631810,179441954.5,192629248
